chr	bin	arm	pos	value	disease	change
chr1	chr20:35000000-40000000	1p	72500000	0.0860215053763441	Bladder	Gain
chr1	chr20:35000000-40000000	1p	72500000	-0.057471264367816056	RCC	Loss
chr1	chr20:35000000-40000000	1p	72500000	0	RCC	Gain
chr1	chr20:35000000-40000000	1p	72500000	-0.018181818181818177	Prostate	Loss
chr1	chr20:35000000-40000000	1p	72500000	0	Prostate	Gain
chr1	chr20:20000000-25000000	1p	77500000	-0.06451612903225809	Bladder	Loss
chr1	chr20:20000000-25000000	1p	77500000	0.09677419354838712	Bladder	Gain
chr1	chr20:20000000-25000000	1p	77500000	-0.057471264367816056	RCC	Loss
chr1	chr20:20000000-25000000	1p	77500000	0.011494252873563229	RCC	Gain
chr1	chr20:20000000-25000000	1p	77500000	-0.0090909090909091	Prostate	Loss
chr1	chr20:20000000-25000000	1p	77500000	0	Prostate	Gain
chr1	chr20:15000000-20000000	1p	82500000	-0.06451612903225809	Bladder	Loss
chr1	chr20:15000000-20000000	1p	82500000	0.0645161290322581	Bladder	Gain
chr1	chr20:15000000-20000000	1p	82500000	-0.057471264367816056	RCC	Loss
chr1	chr20:15000000-20000000	1p	82500000	0.011494252873563229	RCC	Gain
chr1	chr20:15000000-20000000	1p	82500000	-0.02727272727272725	Prostate	Loss
chr1	chr20:15000000-20000000	1p	82500000	0	Prostate	Gain
chr1	chr20:10000000-15000000	1p	87500000	-0.0752688172043011	Bladder	Loss
chr1	chr20:10000000-15000000	1p	87500000	0.0645161290322581	Bladder	Gain
chr1	chr20:10000000-15000000	1p	87500000	-0.057471264367816056	RCC	Loss
chr1	chr20:10000000-15000000	1p	87500000	0.011494252873563229	RCC	Gain
chr1	chr20:10000000-15000000	1p	87500000	-0.02727272727272725	Prostate	Loss
chr1	chr20:10000000-15000000	1p	87500000	0	Prostate	Gain
chr1	chr20:5000000-10000000	1p	97500000	-0.08602150537634412	Bladder	Loss
chr1	chr20:5000000-10000000	1p	97500000	0.04301075268817206	Bladder	Gain
chr1	chr20:5000000-10000000	1p	97500000	-0.057471264367816056	RCC	Loss
chr1	chr20:5000000-10000000	1p	97500000	0.011494252873563229	RCC	Gain
chr1	chr20:5000000-10000000	1p	97500000	-0.04545454545454546	Prostate	Loss
chr1	chr20:5000000-10000000	1p	97500000	0	Prostate	Gain
chr1	chr19:15000000-20000000	1p	107500000	-0.0752688172043011	Bladder	Loss
chr1	chr19:15000000-20000000	1p	107500000	0.010752688172043019	Bladder	Gain
chr1	chr19:15000000-20000000	1p	107500000	-0.057471264367816056	RCC	Loss
chr1	chr19:15000000-20000000	1p	107500000	0	RCC	Gain
chr1	chr19:15000000-20000000	1p	107500000	-0.018181818181818195	Prostate	Loss
chr1	chr19:15000000-20000000	1p	107500000	0	Prostate	Gain
chr1	chr19:10000000-15000000	1p	112500000	-0.06451612903225809	Bladder	Loss
chr1	chr19:10000000-15000000	1p	112500000	0.010752688172043019	Bladder	Gain
chr1	chr19:10000000-15000000	1p	112500000	-0.045977011494252915	RCC	Loss
chr1	chr19:10000000-15000000	1p	112500000	0.011494252873563229	RCC	Gain
chr1	chr19:10000000-15000000	1p	112500000	-0.027272727272727282	Prostate	Loss
chr1	chr19:10000000-15000000	1p	112500000	0	Prostate	Gain
chr1	chr18:65000000-70000000	1p	117500000	-0.043010752688172046	Bladder	Loss
chr1	chr18:65000000-70000000	1p	117500000	0.043010752688172046	Bladder	Gain
chr1	chr18:65000000-70000000	1p	117500000	-0.045977011494252915	RCC	Loss
chr1	chr18:65000000-70000000	1p	117500000	0.011494252873563229	RCC	Gain
chr1	chr18:65000000-70000000	1p	117500000	-0.0090909090909091	Prostate	Loss
chr1	chr18:65000000-70000000	1p	117500000	0	Prostate	Gain
chr1	chr18:60000000-65000000	1q	147500000	-0	Bladder	Loss
chr1	chr18:60000000-65000000	1q	147500000	0.24731182795698928	Bladder	Gain
chr1	chr18:60000000-65000000	1q	147500000	-0.011494252873563229	RCC	Loss
chr1	chr18:60000000-65000000	1q	147500000	0.06896551724137932	RCC	Gain
chr1	chr18:60000000-65000000	1q	147500000	-0	Prostate	Loss
chr1	chr18:60000000-65000000	1q	147500000	0.009090909090909101	Prostate	Gain
chr1	chr18:55000000-60000000	1q	152500000	-0	Bladder	Loss
chr1	chr18:55000000-60000000	1q	152500000	0.2903225806451613	Bladder	Gain
chr1	chr18:55000000-60000000	1q	152500000	-0.011494252873563229	RCC	Loss
chr1	chr18:55000000-60000000	1q	152500000	0.06896551724137932	RCC	Gain
chr1	chr18:55000000-60000000	1q	152500000	-0	Prostate	Loss
chr1	chr18:55000000-60000000	1q	152500000	0.01818181818181819	Prostate	Gain
chr1	chr18:40000000-45000000	1q	157500000	-0	Bladder	Loss
chr1	chr18:40000000-45000000	1q	157500000	0.24731182795698925	Bladder	Gain
chr1	chr18:40000000-45000000	1q	157500000	-0.011494252873563229	RCC	Loss
chr1	chr18:40000000-45000000	1q	157500000	0.06896551724137932	RCC	Gain
chr1	chr18:40000000-45000000	1q	157500000	-0	Prostate	Loss
chr1	chr18:40000000-45000000	1q	157500000	0.01818181818181819	Prostate	Gain
chr1	chr18:35000000-40000000	1q	172500000	-0.010752688172043019	Bladder	Loss
chr1	chr18:35000000-40000000	1q	172500000	0.2258064516129033	Bladder	Gain
chr1	chr18:35000000-40000000	1q	172500000	-0.011494252873563229	RCC	Loss
chr1	chr18:35000000-40000000	1q	172500000	0.08045977011494251	RCC	Gain
chr1	chr18:35000000-40000000	1q	172500000	-0.009090909090909096	Prostate	Loss
chr1	chr18:35000000-40000000	1q	172500000	0.009090909090909101	Prostate	Gain
chr1	chr18:30000000-35000000	1q	177500000	-0.02150537634408603	Bladder	Loss
chr1	chr18:30000000-35000000	1q	177500000	0.19354838709677422	Bladder	Gain
chr1	chr18:30000000-35000000	1q	177500000	-0.011494252873563229	RCC	Loss
chr1	chr18:30000000-35000000	1q	177500000	0.06896551724137932	RCC	Gain
chr1	chr18:30000000-35000000	1q	177500000	-0.009090909090909096	Prostate	Loss
chr1	chr18:30000000-35000000	1q	177500000	0	Prostate	Gain
chr1	chr18:25000000-30000000	1q	182500000	-0.02150537634408603	Bladder	Loss
chr1	chr18:25000000-30000000	1q	182500000	0.15053763440860216	Bladder	Gain
chr1	chr18:25000000-30000000	1q	182500000	-0.011494252873563229	RCC	Loss
chr1	chr18:25000000-30000000	1q	182500000	0.08045977011494251	RCC	Gain
chr1	chr18:25000000-30000000	1q	182500000	-0.009090909090909096	Prostate	Loss
chr1	chr18:25000000-30000000	1q	182500000	0	Prostate	Gain
chr1	chr18:10000000-15000000	1q	187500000	-0.02150537634408603	Bladder	Loss
chr1	chr18:10000000-15000000	1q	187500000	0.15053763440860218	Bladder	Gain
chr1	chr18:10000000-15000000	1q	187500000	-0.011494252873563229	RCC	Loss
chr1	chr18:10000000-15000000	1q	187500000	0.08045977011494251	RCC	Gain
chr1	chr18:10000000-15000000	1q	187500000	-0.009090909090909096	Prostate	Loss
chr1	chr18:10000000-15000000	1q	187500000	0.009090909090909101	Prostate	Gain
chr1	chr18:5000000-10000000	1q	192500000	-0.021505376344086037	Bladder	Loss
chr1	chr18:5000000-10000000	1q	192500000	0.1290322580645162	Bladder	Gain
chr1	chr18:5000000-10000000	1q	192500000	-0.011494252873563229	RCC	Loss
chr1	chr18:5000000-10000000	1q	192500000	0.08045977011494251	RCC	Gain
chr1	chr18:5000000-10000000	1q	192500000	-0.009090909090909096	Prostate	Loss
chr1	chr18:5000000-10000000	1q	192500000	0.018181818181818177	Prostate	Gain
chr1	chr17:80000000-83257441	1q	197500000	-0.02150537634408603	Bladder	Loss
chr1	chr17:80000000-83257441	1q	197500000	0.10752688172043015	Bladder	Gain
chr1	chr17:80000000-83257441	1q	197500000	-0.011494252873563229	RCC	Loss
chr1	chr17:80000000-83257441	1q	197500000	0.06896551724137932	RCC	Gain
chr1	chr17:80000000-83257441	1q	197500000	-0.009090909090909096	Prostate	Loss
chr1	chr17:80000000-83257441	1q	197500000	0	Prostate	Gain
chr1	chr17:75000000-80000000	1q	202500000	-0.021505376344086037	Bladder	Loss
chr1	chr17:75000000-80000000	1q	202500000	0.08602150537634413	Bladder	Gain
chr1	chr17:75000000-80000000	1q	202500000	-0.011494252873563229	RCC	Loss
chr1	chr17:75000000-80000000	1q	202500000	0.08045977011494251	RCC	Gain
chr1	chr17:75000000-80000000	1q	202500000	-0	Prostate	Loss
chr1	chr17:75000000-80000000	1q	202500000	0.009090909090909096	Prostate	Gain
chr1	chr17:70000000-75000000	1q	207500000	-0.032258064516129045	Bladder	Loss
chr1	chr17:70000000-75000000	1q	207500000	0.09677419354838711	Bladder	Gain
chr1	chr17:70000000-75000000	1q	207500000	-0.011494252873563229	RCC	Loss
chr1	chr17:70000000-75000000	1q	207500000	0.08045977011494251	RCC	Gain
chr1	chr17:70000000-75000000	1q	207500000	-0	Prostate	Loss
chr1	chr17:70000000-75000000	1q	207500000	0.009090909090909096	Prostate	Gain
chr1	chr17:65000000-70000000	1q	212500000	-0.032258064516129045	Bladder	Loss
chr1	chr17:65000000-70000000	1q	212500000	0.09677419354838711	Bladder	Gain
chr1	chr17:65000000-70000000	1q	212500000	-0.011494252873563229	RCC	Loss
chr1	chr17:65000000-70000000	1q	212500000	0.08045977011494251	RCC	Gain
chr1	chr17:65000000-70000000	1q	212500000	-0.009090909090909108	Prostate	Loss
chr1	chr17:65000000-70000000	1q	212500000	0.009090909090909096	Prostate	Gain
chr1	chr17:60000000-65000000	1q	217500000	-0.032258064516129045	Bladder	Loss
chr1	chr17:60000000-65000000	1q	217500000	0.10752688172043015	Bladder	Gain
chr1	chr17:60000000-65000000	1q	217500000	-0.022988505747126457	RCC	Loss
chr1	chr17:60000000-65000000	1q	217500000	0.08045977011494251	RCC	Gain
chr1	chr17:60000000-65000000	1q	217500000	-0.018181818181818174	Prostate	Loss
chr1	chr17:60000000-65000000	1q	217500000	0.009090909090909096	Prostate	Gain
chr1	chr17:55000000-60000000	1q	227500000	-0.02150537634408603	Bladder	Loss
chr1	chr17:55000000-60000000	1q	227500000	0.13978494623655918	Bladder	Gain
chr1	chr17:55000000-60000000	1q	227500000	-0.022988505747126457	RCC	Loss
chr1	chr17:55000000-60000000	1q	227500000	0.08045977011494251	RCC	Gain
chr1	chr17:55000000-60000000	1q	227500000	-0.018181818181818174	Prostate	Loss
chr1	chr17:55000000-60000000	1q	227500000	0.009090909090909096	Prostate	Gain
chr1	chr17:35000000-40000000	1q	232500000	-0.02150537634408603	Bladder	Loss
chr1	chr17:35000000-40000000	1q	232500000	0.16129032258064516	Bladder	Gain
chr1	chr17:35000000-40000000	1q	232500000	-0.022988505747126457	RCC	Loss
chr1	chr17:35000000-40000000	1q	232500000	0.08045977011494251	RCC	Gain
chr1	chr17:35000000-40000000	1q	232500000	-0.018181818181818174	Prostate	Loss
chr1	chr17:35000000-40000000	1q	232500000	0.009090909090909096	Prostate	Gain
chr1	chr17:30000000-35000000	1q	242500000	-0.032258064516129045	Bladder	Loss
chr1	chr17:30000000-35000000	1q	242500000	0.12903225806451618	Bladder	Gain
chr1	chr17:30000000-35000000	1q	242500000	-0.022988505747126457	RCC	Loss
chr1	chr17:30000000-35000000	1q	242500000	0.08045977011494251	RCC	Gain
chr1	chr17:30000000-35000000	1q	242500000	-0	Prostate	Loss
chr1	chr17:30000000-35000000	1q	242500000	0.01818181818181819	Prostate	Gain
chr2	chr17:10000000-15000000	2p	7500000	-0.010752688172043017	Bladder	Loss
chr2	chr17:10000000-15000000	2p	7500000	0.16129032258064516	Bladder	Gain
chr2	chr17:10000000-15000000	2p	7500000	-0.011494252873563229	RCC	Loss
chr2	chr17:10000000-15000000	2p	7500000	0.045977011494252894	RCC	Gain
chr2	chr17:10000000-15000000	2p	7500000	-0	Prostate	Loss
chr2	chr17:10000000-15000000	2p	7500000	0.009090909090909096	Prostate	Gain
chr2	chr17:5000000-10000000	2p	17500000	-0.010752688172043017	Bladder	Loss
chr2	chr17:5000000-10000000	2p	17500000	0.1720430107526882	Bladder	Gain
chr2	chr17:5000000-10000000	2p	17500000	-0.011494252873563229	RCC	Loss
chr2	chr17:5000000-10000000	2p	17500000	0.045977011494252894	RCC	Gain
chr2	chr17:5000000-10000000	2p	17500000	-0	Prostate	Loss
chr2	chr17:5000000-10000000	2p	17500000	0.009090909090909096	Prostate	Gain
chr2	chr16:85000000-90000000	2p	27500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:85000000-90000000	2p	27500000	0.16129032258064518	Bladder	Gain
chr2	chr16:85000000-90000000	2p	27500000	-0.011494252873563229	RCC	Loss
chr2	chr16:85000000-90000000	2p	27500000	0.045977011494252894	RCC	Gain
chr2	chr16:85000000-90000000	2p	27500000	-0	Prostate	Loss
chr2	chr16:85000000-90000000	2p	27500000	0.009090909090909096	Prostate	Gain
chr2	chr16:80000000-85000000	2p	42500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:80000000-85000000	2p	42500000	0.15053763440860216	Bladder	Gain
chr2	chr16:80000000-85000000	2p	42500000	-0.011494252873563229	RCC	Loss
chr2	chr16:80000000-85000000	2p	42500000	0.045977011494252894	RCC	Gain
chr2	chr16:80000000-85000000	2p	42500000	-0	Prostate	Loss
chr2	chr16:80000000-85000000	2p	42500000	0.009090909090909096	Prostate	Gain
chr2	chr16:75000000-80000000	2p	52500000	-0.02150537634408603	Bladder	Loss
chr2	chr16:75000000-80000000	2p	52500000	0.16129032258064518	Bladder	Gain
chr2	chr16:75000000-80000000	2p	52500000	-0.011494252873563229	RCC	Loss
chr2	chr16:75000000-80000000	2p	52500000	0.045977011494252894	RCC	Gain
chr2	chr16:75000000-80000000	2p	52500000	-0	Prostate	Loss
chr2	chr16:75000000-80000000	2p	52500000	0.009090909090909096	Prostate	Gain
chr2	chr16:70000000-75000000	2p	57500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:70000000-75000000	2p	57500000	0.13978494623655915	Bladder	Gain
chr2	chr16:70000000-75000000	2p	57500000	-0.011494252873563229	RCC	Loss
chr2	chr16:70000000-75000000	2p	57500000	0.03448275862068966	RCC	Gain
chr2	chr16:70000000-75000000	2p	57500000	-0	Prostate	Loss
chr2	chr16:70000000-75000000	2p	57500000	0.009090909090909096	Prostate	Gain
chr2	chr16:65000000-70000000	2p	67500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:65000000-70000000	2p	67500000	0.18279569892473127	Bladder	Gain
chr2	chr16:65000000-70000000	2p	67500000	-0.011494252873563229	RCC	Loss
chr2	chr16:65000000-70000000	2p	67500000	0.03448275862068966	RCC	Gain
chr2	chr16:65000000-70000000	2p	67500000	-0.00909090909090911	Prostate	Loss
chr2	chr16:65000000-70000000	2p	67500000	0.009090909090909096	Prostate	Gain
chr2	chr16:60000000-65000000	2p	72500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:60000000-65000000	2p	72500000	0.17204301075268824	Bladder	Gain
chr2	chr16:60000000-65000000	2p	72500000	-0.011494252873563229	RCC	Loss
chr2	chr16:60000000-65000000	2p	72500000	0.03448275862068966	RCC	Gain
chr2	chr16:60000000-65000000	2p	72500000	-0.00909090909090911	Prostate	Loss
chr2	chr16:60000000-65000000	2p	72500000	0.009090909090909096	Prostate	Gain
chr2	chr16:55000000-60000000	2p	77500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:55000000-60000000	2p	77500000	0.12903225806451615	Bladder	Gain
chr2	chr16:55000000-60000000	2p	77500000	-0.011494252873563229	RCC	Loss
chr2	chr16:55000000-60000000	2p	77500000	0.03448275862068966	RCC	Gain
chr2	chr16:55000000-60000000	2p	77500000	-0.00909090909090911	Prostate	Loss
chr2	chr16:55000000-60000000	2p	77500000	0.009090909090909096	Prostate	Gain
chr2	chr16:50000000-55000000	2p	82500000	-0.010752688172043017	Bladder	Loss
chr2	chr16:50000000-55000000	2p	82500000	0.1612903225806452	Bladder	Gain
chr2	chr16:50000000-55000000	2p	82500000	-0.011494252873563229	RCC	Loss
chr2	chr16:50000000-55000000	2p	82500000	0.03448275862068966	RCC	Gain
chr2	chr16:50000000-55000000	2p	82500000	-0	Prostate	Loss
chr2	chr16:50000000-55000000	2p	82500000	0.009090909090909096	Prostate	Gain
chr2	chr16:20000000-25000000	2q	102500000	-0.07526881720430106	Bladder	Loss
chr2	chr16:20000000-25000000	2q	102500000	0.03225806451612905	Bladder	Gain
chr2	chr16:20000000-25000000	2q	102500000	-0.011494252873563229	RCC	Loss
chr2	chr16:20000000-25000000	2q	102500000	0.03448275862068966	RCC	Gain
chr2	chr16:20000000-25000000	2q	102500000	-0	Prostate	Loss
chr2	chr16:20000000-25000000	2q	102500000	0.009090909090909096	Prostate	Gain
chr2	chr16:15000000-20000000	2q	117500000	-0.08602150537634409	Bladder	Loss
chr2	chr16:15000000-20000000	2q	117500000	0.02150537634408603	Bladder	Gain
chr2	chr16:15000000-20000000	2q	117500000	-0.011494252873563229	RCC	Loss
chr2	chr16:15000000-20000000	2q	117500000	0.011494252873563229	RCC	Gain
chr2	chr16:15000000-20000000	2q	117500000	-0.009090909090909096	Prostate	Loss
chr2	chr16:15000000-20000000	2q	117500000	0	Prostate	Gain
chr2	chr16:10000000-15000000	2q	122500000	-0.08602150537634409	Bladder	Loss
chr2	chr16:10000000-15000000	2q	122500000	0.032258064516129045	Bladder	Gain
chr2	chr16:10000000-15000000	2q	122500000	-0.011494252873563229	RCC	Loss
chr2	chr16:10000000-15000000	2q	122500000	0.011494252873563229	RCC	Gain
chr2	chr16:10000000-15000000	2q	122500000	-0.01818181818181819	Prostate	Loss
chr2	chr16:10000000-15000000	2q	122500000	0	Prostate	Gain
chr2	chr16:5000000-10000000	2q	127500000	-0.08602150537634409	Bladder	Loss
chr2	chr16:5000000-10000000	2q	127500000	0.032258064516129045	Bladder	Gain
chr2	chr16:5000000-10000000	2q	127500000	-0.011494252873563229	RCC	Loss
chr2	chr16:5000000-10000000	2q	127500000	0.03448275862068966	RCC	Gain
chr2	chr16:5000000-10000000	2q	127500000	-0.01818181818181819	Prostate	Loss
chr2	chr16:5000000-10000000	2q	127500000	0	Prostate	Gain
chr2	chr16:0-5000000	2q	137500000	-0.11827956989247315	Bladder	Loss
chr2	chr16:0-5000000	2q	137500000	0.02150537634408603	Bladder	Gain
chr2	chr16:0-5000000	2q	137500000	-0.011494252873563229	RCC	Loss
chr2	chr16:0-5000000	2q	137500000	0.03448275862068966	RCC	Gain
chr2	chr16:0-5000000	2q	137500000	-0.01818181818181819	Prostate	Loss
chr2	chr16:0-5000000	2q	137500000	0	Prostate	Gain
chr2	chr15:95000000-100000000	2q	142500000	-0.11827956989247315	Bladder	Loss
chr2	chr15:95000000-100000000	2q	142500000	0.021505376344086037	Bladder	Gain
chr2	chr15:95000000-100000000	2q	142500000	-0.011494252873563229	RCC	Loss
chr2	chr15:95000000-100000000	2q	142500000	0.03448275862068966	RCC	Gain
chr2	chr15:95000000-100000000	2q	142500000	-0.009090909090909104	Prostate	Loss
chr2	chr15:95000000-100000000	2q	142500000	0	Prostate	Gain
chr2	chr15:90000000-95000000	2q	152500000	-0.12903225806451618	Bladder	Loss
chr2	chr15:90000000-95000000	2q	152500000	0.032258064516129045	Bladder	Gain
chr2	chr15:90000000-95000000	2q	152500000	-0.011494252873563229	RCC	Loss
chr2	chr15:90000000-95000000	2q	152500000	0.03448275862068966	RCC	Gain
chr2	chr15:90000000-95000000	2q	152500000	-0.018181818181818205	Prostate	Loss
chr2	chr15:90000000-95000000	2q	152500000	0.009090909090909096	Prostate	Gain
chr2	chr15:85000000-90000000	2q	157500000	-0.11827956989247318	Bladder	Loss
chr2	chr15:85000000-90000000	2q	157500000	0.06451612903225809	Bladder	Gain
chr2	chr15:85000000-90000000	2q	157500000	-0.011494252873563229	RCC	Loss
chr2	chr15:85000000-90000000	2q	157500000	0.0459770114942529	RCC	Gain
chr2	chr15:85000000-90000000	2q	157500000	-0.018181818181818205	Prostate	Loss
chr2	chr15:85000000-90000000	2q	157500000	0.009090909090909096	Prostate	Gain
chr2	chr15:65000000-70000000	2q	167500000	-0.09677419354838714	Bladder	Loss
chr2	chr15:65000000-70000000	2q	167500000	0.06451612903225809	Bladder	Gain
chr2	chr15:65000000-70000000	2q	167500000	-0.011494252873563229	RCC	Loss
chr2	chr15:65000000-70000000	2q	167500000	0.04597701149425289	RCC	Gain
chr2	chr15:65000000-70000000	2q	167500000	-0.036363636363636355	Prostate	Loss
chr2	chr15:65000000-70000000	2q	167500000	0	Prostate	Gain
chr2	chr15:60000000-65000000	2q	172500000	-0.08602150537634413	Bladder	Loss
chr2	chr15:60000000-65000000	2q	172500000	0.07526881720430108	Bladder	Gain
chr2	chr15:60000000-65000000	2q	172500000	-0.011494252873563229	RCC	Loss
chr2	chr15:60000000-65000000	2q	172500000	0.04597701149425289	RCC	Gain
chr2	chr15:60000000-65000000	2q	172500000	-0.018181818181818205	Prostate	Loss
chr2	chr15:60000000-65000000	2q	172500000	0.018181818181818174	Prostate	Gain
chr2	chr15:45000000-50000000	2q	177500000	-0.08602150537634413	Bladder	Loss
chr2	chr15:45000000-50000000	2q	177500000	0.06451612903225809	Bladder	Gain
chr2	chr15:45000000-50000000	2q	177500000	-0.011494252873563229	RCC	Loss
chr2	chr15:45000000-50000000	2q	177500000	0.04597701149425289	RCC	Gain
chr2	chr15:45000000-50000000	2q	177500000	-0.018181818181818205	Prostate	Loss
chr2	chr15:45000000-50000000	2q	177500000	0.018181818181818174	Prostate	Gain
chr2	chr15:40000000-45000000	2q	187500000	-0.08602150537634413	Bladder	Loss
